carrier_name,avg_delay_per_flight
GoJet Airlines LLC d/b/a United Express,46.15
PSA Airlines Inc.,33.56
Endeavor Air Inc.,31.13
SkyWest Airlines Inc.,28.67
JetBlue Airways,26.71
Frontier Airlines,26.36
Spirit Airlines,25.21
Allegiant Air,24.94
Republic Airline,22.56
CommuteAir LLC dba CommuteAir,21.43
American Airlines Network,20.4
Piedmont Airlines,19.31
Delta Air Lines Network,18.67
Hawaiian Airlines Network,16.42
United Air Lines Network,15.63
Envoy Air,14.91
Alaska Airlines Network,14.7
Southwest Airlines,12.91
Horizon Air,11.79
Mesa Airlines Inc.,11.03
